Project|Planning_Status_SL|Point-of-View|Data Load Cube Name
P21102420|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102567|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102568|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102569|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102592|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102619|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102620|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102621|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102622|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102623|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102624|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102625|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102627|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102628|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102629|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102630|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102631|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102633|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102634|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102635|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102636|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102637|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102638|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102639|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102640|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102641|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102642|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102643|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102644|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102645|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102646|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102647|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102648|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102649|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102650|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102661|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102662|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102666|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102668|Inactive|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102697|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102699|Inactive|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102713|Inactive|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102716|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102718|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102724|Inactive|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
P21102736|Active|"Status_NA|BA_NA|BA_Line_NA|Fund_NA|Task_NA|Working|FY07|Element|Month|BegBalance"|Project
